Pollutant,Year,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City,City of Westminster,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Non GLA,Grand Total
NOx,2019, 329.1 , 946.1 , 519.9 , 476.5 , 654.5 , 334.6 , 103.8 , 575.3 , 590.9 , 669.3 , 889.3 , 572.8 , 269.0 , 269.1 , 306.8 , 350.1 , 886.2 , 952.7 , 708.6 , 226.9 , 285.1 , 349.7 , 366.3 , 344.9 , 337.8 , 442.0 , 577.7 , 351.0 , 344.2 , 269.4 , 391.6 , 399.9 , 398.7 ," 6,799.2 "," 22,289.1 "
NOx,2016, 443.4 ," 1,277.3 ", 605.6 , 759.7 , 791.0 , 591.1 , 199.0 ," 1,059.2 ", 760.0 ," 1,002.3 "," 1,136.4 ", 791.6 , 507.6 , 456.7 , 559.1 , 420.9 ," 1,047.1 "," 1,293.1 ", 928.7 , 400.6 , 489.2 , 478.3 , 608.9 , 578.7 , 424.2 , 712.1 , 801.9 , 526.6 , 618.0 , 347.9 , 656.9 , 612.5 , 587.3 ," 8,649.2 "," 31,122.4 "
NOx,2013, 507.6 ," 1,453.8 ", 696.3 , 835.4 , 908.3 , 705.5 , 234.3 ," 1,274.7 ", 899.9 ," 1,104.8 "," 1,385.3 ", 926.0 , 596.7 , 528.7 , 646.6 , 482.7 ," 1,267.0 "," 1,478.1 "," 1,037.3 ", 479.4 , 578.8 , 534.2 , 764.2 , 691.6 , 497.5 , 798.5 , 895.3 , 586.7 , 756.6 , 407.4 , 756.8 , 716.7 , 710.6 ," 10,209.1 "," 36,352.2 "
PM10,2019, 43.69 , 114.38 , 69.57 , 66.50 , 94.55 , 37.27 , 9.27 , 61.13 , 86.02 , 90.43 , 103.93 , 76.54 , 34.23 , 35.02 , 42.30 , 48.59 , 92.93 , 118.74 , 92.43 , 26.81 , 33.72 , 49.14 , 48.93 , 47.03 , 45.67 , 60.46 , 79.62 , 49.85 , 45.12 , 39.63 , 52.32 , 55.27 , 53.99 , 617.76 ," 2,622.84 "
PM10,2016, 45.54 , 127.00 , 63.33 , 76.71 , 92.23 , 50.96 , 13.67 , 79.34 , 84.18 , 99.53 , 117.81 , 81.03 , 43.83 , 42.17 , 52.29 , 49.33 , 89.95 , 127.02 , 95.14 , 35.12 , 39.83 , 51.10 , 56.71 , 56.22 , 44.89 , 66.91 , 83.90 , 57.82 , 55.85 , 41.37 , 61.96 , 62.79 , 59.52 , 728.27 ," 2,933.34 "
PM10,2013, 46.79 , 131.09 , 64.55 , 77.82 , 94.73 , 55.60 , 15.10 , 87.69 , 87.74 , 103.02 , 121.90 , 82.78 , 46.05 , 45.03 , 55.13 , 50.01 , 96.00 , 128.65 , 98.80 , 37.33 , 43.29 , 52.50 , 60.12 , 58.99 , 47.36 , 68.41 , 86.04 , 60.06 , 60.73 , 43.26 , 64.62 , 65.86 , 62.46 , 758.79 ," 3,058.33 "
PM2.5,2019, 22.43 , 59.63 , 35.78 , 33.80 , 48.15 , 19.17 , 4.85 , 31.53 , 43.64 , 45.96 , 54.81 , 38.93 , 17.33 , 17.74 , 21.36 , 25.01 , 50.00 , 61.94 , 47.39 , 13.67 , 17.30 , 25.12 , 24.57 , 23.77 , 23.29 , 30.69 , 40.68 , 25.23 , 22.77 , 20.25 , 26.44 , 28.16 , 27.38 , 343.75 ," 1,372.52 "
PM2.5,2016, 24.46 , 69.45 , 34.42 , 41.08 , 49.03 , 28.23 , 8.18 , 45.55 , 44.56 , 53.46 , 63.67 , 43.47 , 23.85 , 22.87 , 28.24 , 26.32 , 51.57 , 69.68 , 51.42 , 19.29 , 22.20 , 27.61 , 30.67 , 30.06 , 24.05 , 36.49 , 45.55 , 30.55 , 30.38 , 21.97 , 33.55 , 34.28 , 31.92 , 420.15 ," 1,618.21 "
PM2.5,2013, 26.41 , 75.24 , 36.92 , 43.66 , 52.64 , 32.29 , 9.52 , 52.89 , 48.53 , 57.99 , 69.76 , 46.54 , 26.28 , 25.63 , 31.13 , 27.91 , 58.80 , 74.58 , 55.97 , 21.54 , 25.36 , 29.78 , 34.06 , 33.00 , 26.59 , 39.14 , 49.15 , 33.13 , 34.71 , 24.06 , 36.77 , 37.81 , 35.10 , 473.63 ," 1,786.53 "
CO2,2019," 136,729 "," 383,466 "," 212,121 "," 196,262 "," 263,689 "," 135,404 "," 37,706 "," 219,247 "," 238,804 "," 273,199 "," 404,961 "," 234,258 "," 114,896 "," 111,143 "," 128,331 "," 142,422 "," 406,780 "," 404,873 "," 293,827 "," 90,223 "," 115,219 "," 142,182 "," 156,162 "," 143,421 "," 137,437 "," 185,214 "," 242,689 "," 139,568 "," 144,819 "," 109,669 "," 160,297 "," 167,686 "," 165,459 "," 3,231,370 "," 9,669,534 "
CO2,2016," 138,921 "," 408,631 "," 193,114 "," 225,049 "," 252,121 "," 164,994 "," 46,492 "," 258,571 "," 233,322 "," 298,220 "," 388,353 "," 238,636 "," 138,001 "," 128,696 "," 152,571 "," 139,616 "," 381,702 "," 423,285 "," 294,223 "," 108,200 "," 130,255 "," 158,041 "," 172,662 "," 167,097 "," 130,458 "," 208,849 "," 262,780 "," 166,035 "," 174,843 "," 110,775 "," 183,725 "," 190,974 "," 177,092 "," 3,202,077 "," 10,048,381 "
CO2,2013," 138,617 "," 410,897 "," 193,000 "," 224,340 "," 255,007 "," 173,855 "," 47,547 "," 275,291 "," 239,423 "," 301,272 "," 394,243 "," 240,030 "," 141,316 "," 133,401 "," 157,141 "," 139,326 "," 383,278 "," 423,499 "," 298,445 "," 111,195 "," 136,652 "," 159,749 "," 179,527 "," 171,226 "," 133,868 "," 208,998 "," 264,681 "," 169,116 "," 180,365 "," 113,325 "," 185,619 "," 196,318 "," 181,876 "," 3,193,856 "," 10,156,299 "